Order_ID,Shipment_Mode,Distance_km,Shipment_Weight_kg,Transportation_Cost,Inventory_Level,Delivery_Time_days
ORD0268,Air,363.3,238.7,2478.19,436.6,1.58
ORD0269,Road,413.8,722.2,704.65,877.2,9.58
ORD0270,Road,605.9,588.7,1109.51,793.3,12.74
ORD0271,Sea,388.1,606.7,410.08,588.7,14.71
ORD0272,Sea,1798.7,482.5,1874.44,751.5,54.78
ORD0273,Sea,206.5,103.3,227.0,884.6,7.25
ORD0274,Sea,1072.8,55.4,1174.6,433.9,32.83
ORD0275,Road,850.3,1975.7,1745.1,360.7,15.92
ORD0276,Road,1965.6,867.0,3629.99,684.2,31.97
ORD0277,Air,268.5,781.0,1716.35,817.5,1.83
ORD0278,Air,825.8,1365.7,5572.72,774.2,3.07
ORD0279,Air,1940.5,452.1,12723.38,807.9,2.59
ORD0280,Air,1737.7,1900.9,11440.6,463.8,5.82
ORD0281,Sea,1643.3,1577.0,1878.5,826.9,50.45
ORD0282,Road,552.9,197.0,938.92,164.2,10.09
ORD0283,Road,383.2,846.8,710.34,567.3,9.49
ORD0284,Road,1353.9,1760.7,2609.99,55.5,23.34
ORD0285,Air,1862.3,1890.6,12340.74,358.4,3.69
ORD0286,Road,1135.7,945.5,2204.26,398.1,19.52
ORD0287,Road,1164.6,1234.6,2130.04,426.4,21.26
ORD0288,Road,596.0,350.7,1013.64,710.7,12.13
ORD0289,Road,1550.5,1982.5,2909.82,419.1,26.4
ORD0290,Air,414.7,478.7,2598.32,476.3,2.17
ORD0291,Road,681.2,1886.6,1352.5,275.7,13.45
ORD0292,Road,879.6,1306.3,1644.8,404.6,16.11
ORD0293,Sea,1039.8,1223.3,1178.48,265.9,35.42
ORD0294,Road,522.7,1035.1,886.16,119.5,9.34
ORD0295,Road,273.9,476.7,555.25,623.3,6.12
ORD0296,Road,1240.7,369.5,2216.31,684.8,21.03
ORD0297,Air,612.8,456.6,3926.61,638.5,2.84
ORD0298,Road,1183.4,389.1,1950.49,490.3,19.91
ORD0299,Air,351.0,1563.6,2365.62,410.8,3.15
ORD0300,Road,988.2,713.2,1942.09,870.2,16.92
ORD0301,Road,1088.5,134.5,2083.08,543.1,18.28
ORD0302,Road,151.1,1938.8,346.54,505.2,5.44
ORD0303,Road,706.4,1769.9,1326.67,74.4,14.47
ORD0304,Air,312.1,1856.9,2163.65,374.2,2.95
ORD0305,Air,173.6,1989.9,1167.84,411.2,3.42
ORD0306,Sea,1980.4,364.3,2219.63,428.9,59.47
ORD0307,Road,678.6,804.6,1319.34,601.2,13.32
ORD0308,Road,1629.3,1521.3,3102.22,556.9,27.92
ORD0309,Air,546.5,1398.1,3622.46,627.5,1.79
ORD0310,Road,1378.9,324.7,2485.68,776.6,23.66
ORD0311,Road,1532.4,1635.3,2786.89,822.3,25.96
ORD0312,Road,1211.5,464.4,2148.35,732.2,19.9
ORD0313,Road,969.6,463.2,1754.85,957.7,16.21
ORD0314,Sea,853.1,1083.2,1023.69,67.3,29.04
ORD0315,Sea,730.3,1194.0,932.94,236.0,23.2
ORD0316,Air,1862.6,1168.6,12114.83,57.2,6.86
ORD0317,Road,1669.7,201.1,3121.03,665.1,27.85
ORD0318,Road,1931.8,1757.4,3554.92,903.1,33.03
ORD0319,Road,292.4,545.9,554.81,281.3,6.27
ORD0320,Road,1475.2,276.4,2618.24,930.7,24.4
ORD0321,Road,1879.8,1779.7,3311.76,107.3,32.46
ORD0322,Air,403.4,1912.2,2789.18,937.7,3.85
ORD0323,Air,179.7,1727.0,1314.4,384.0,3.26
ORD0324,Road,1495.2,1622.8,2760.9,146.3,26.07
ORD0325,Sea,1170.2,1317.4,1364.39,511.6,37.26
ORD0326,Air,1691.6,1110.7,11092.38,293.9,4.24
ORD0327,Air,322.6,192.2,1997.81,320.6,1.24
ORD0328,Air,1600.8,828.7,10413.56,341.9,4.7
ORD0329,Road,443.2,757.9,895.0,812.9,9.28
ORD0330,Road,369.1,534.3,606.02,562.2,5.41
ORD0331,Road,370.3,1452.4,767.0,345.7,8.97
ORD0332,Air,1638.4,1001.8,10609.87,629.8,4.29
ORD0333,Road,1347.1,180.5,2467.42,730.3,22.11
ORD0334,Road,1070.0,456.0,1948.54,309.0,17.9
ORD0335,Road,749.7,1372.9,1311.94,442.9,15.05
ORD0336,Road,1760.5,170.7,3259.9,165.8,29.14
ORD0337,Sea,815.3,1705.4,939.17,222.1,27.15
ORD0338,Air,1642.4,1000.4,10673.7,697.1,4.44
ORD0339,Road,906.3,971.6,1698.84,222.4,15.54
ORD0340,Road,785.0,1193.0,1559.09,548.9,13.64
ORD0341,Road,952.2,1652.9,1733.81,723.6,17.25
ORD0342,Road,637.7,708.7,1191.13,151.5,12.4
ORD0343,Road,1507.8,1362.5,2819.06,588.9,26.58
ORD0344,Road,1030.3,1140.1,1965.77,293.7,18.68
ORD0345,Road,502.8,548.7,947.6,964.8,10.05
ORD0346,Air,1804.2,1759.7,11798.2,509.4,5.59
ORD0347,Air,798.6,1598.9,5220.83,815.7,3.17
ORD0348,Road,1109.9,1323.7,2076.71,572.7,20.05
ORD0349,Road,1817.6,1704.2,3290.4,91.2,31.62
ORD0350,Air,1267.3,1737.2,8128.27,651.5,4.97
ORD0351,Road,278.0,1422.6,609.11,953.8,7.89
ORD0352,Sea,1882.7,1677.3,2226.47,621.5,58.65
ORD0353,Air,1274.0,1401.0,8192.85,828.2,4.32
ORD0354,Road,703.1,1366.7,1270.0,890.0,14.28
ORD0355,Road,321.6,1244.9,690.65,266.7,7.51
ORD0356,Air,1598.3,1510.4,10616.36,251.4,4.04
ORD0357,Road,1259.1,334.0,2286.28,630.4,20.83
ORD0358,Air,1090.2,1764.1,7132.69,440.5,3.7
ORD0359,Sea,1793.1,1746.3,2055.64,847.9,55.2
ORD0360,Air,1587.8,77.9,10421.0,905.0,2.95
ORD0361,Road,345.8,1655.1,668.19,385.8,7.8
ORD0362,Air,657.9,275.2,4235.27,275.0,1.73
ORD0363,Road,534.6,683.5,966.0,791.5,8.86
ORD0364,Road,1500.7,1492.1,2716.59,311.1,26.09
ORD0365,Sea,115.4,338.3,154.12,831.5,6.17
ORD0366,Road,1161.3,1639.6,2294.22,452.6,20.32
ORD0367,Sea,1536.8,1667.6,1804.81,684.2,48.72
ORD0368,Sea,1759.7,1024.8,1974.36,140.8,54.57
ORD0369,Road,717.1,32.6,1272.08,642.7,11.14
ORD0370,Road,1651.5,588.3,2895.55,479.2,26.73
ORD0371,Road,265.7,1241.5,608.42,607.3,6.13
ORD0372,Road,1700.6,1962.7,3163.55,209.6,28.89
ORD0373,Road,298.6,1271.0,594.76,750.0,7.79
ORD0374,Air,824.7,534.4,5613.53,869.7,2.34
ORD0375,Road,1604.7,1275.3,2979.56,255.9,27.12
ORD0376,Road,342.3,1089.2,623.49,140.9,6.27
ORD0377,Sea,497.0,1564.1,602.92,72.5,18.88
ORD0378,Road,1458.4,231.8,2718.25,659.9,23.03
ORD0379,Sea,1454.1,1526.8,1691.38,626.7,45.78
ORD0380,Road,1300.2,1091.7,2299.79,569.4,22.61
ORD0381,Road,1403.2,1926.7,2696.07,270.3,25.88
ORD0382,Air,1108.3,696.9,7195.59,421.4,2.14
ORD0383,Air,541.0,1272.6,3717.68,614.8,0.77
ORD0384,Sea,724.1,1865.4,974.72,521.9,25.39
ORD0385,Air,404.1,223.0,2607.7,988.4,2.79
ORD0386,Sea,1821.5,1875.7,2196.46,179.6,57.49
ORD0387,Road,1187.6,1382.0,2218.47,710.4,21.15
ORD0388,Road,831.7,154.3,1565.17,434.1,13.82
ORD0389,Air,950.9,615.9,6248.73,456.8,3.31
ORD0390,Sea,1897.2,1422.2,2105.9,731.7,57.6
ORD0391,Sea,349.0,153.4,347.32,707.8,12.98
ORD0392,Road,1193.1,1172.7,2284.26,991.7,21.21
ORD0393,Road,1036.5,704.8,1881.0,172.0,18.67
ORD0394,Air,1242.3,1249.4,8115.64,148.9,5.79
ORD0395,Road,85.3,110.6,100.0,738.1,2.91
ORD0396,Sea,1750.6,1745.6,2051.37,599.5,54.1
ORD0397,Sea,1867.6,1947.5,2305.88,310.5,58.01
ORD0398,Road,1152.0,1938.4,2105.5,125.4,19.84
ORD0399,Air,1408.5,1504.3,9239.48,131.4,3.9
ORD0400,Air,1848.9,277.6,12131.8,899.5,3.36
